,remarks_medical,,adverse_events,,text,Bemærkninger fra læge,,,,,,,,y,,,,,Any remarks from medical staff. Repeated instrument.
,bed_q_1,binge_eating_disorder_questionnaire,bedq,,radio,"1. Haft episoder med tvangsoverspisning? (dvs. at du indenfor et kort tidsrum (fx to timer) spiste væsentligt mere, end hvad der er normalt)?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Binge eating episode defined as eating a significantly larger amount of food than normal within a short time period, indicative of loss of control."
,bed_q_burden_score,binge_eating_disorder_questionnaire,bedq,,calc,BED belastningsscore,[bed_q_1] + [bed_q_2] + [bed_q_3] + [bed_q_4] + [bed_q_5] + [bed_q_6] + [bed_q_7],,,,,,,y,,,,,BED symptom burden score derived from binge eating questionnaire items.
,bed_q_diagnostic_score,binge_eating_disorder_questionnaire,bedq,,calc,BED diagnostisk score,"if(
  [bed_q_1] >= 2
  and [bed_q_2] >= 2
  and (
      ([bed_q_3] >= 2) +
      ([bed_q_4] >= 2) +
      ([bed_q_5] >= 2) +
      ([bed_q_6] >= 2) +
      ([bed_q_7] >= 2)
  ) >= 3
  and [bed_q_8] <= 1
  and [bed_q_9] = 1,
1,0)",,,,,,,y,,,,,BED diagnostic score indicating presence of binge eating disorder based on questionnaire criteria.
bed_q_instruction_admin,bed_q_instruction,binge_eating_disorder_questionnaire,bedq,BED-Q,descriptive,"Vi vil bede dig udfylde et kort spørgeskema om dine spisevaner de seneste måneder. Det handler især om episoder, hvor man kan komme til at spise mere, end man havde tænkt sig. Der er ikke rigtige eller forkerte svar, og mange oplever noget af det, der bliver spurgt om.
Det vigtigste er, at du svarer så ærligt som muligt, så vi får et godt grundlag for at forstå din situation.


Instruktioner til spørgeskemaet:

Angiv hvor mange episoder med tvangsoverspisning du har haft om ugen gennem de seneste tre måneder. 
Tvangsoverspisning betyder, at du indenfor kort tid (fx to timer) spiser væsenligt mere, end hvad der er 
normalt, og at du ikke kan kontrollere, hvor meget du spiser. 

Sæt kryds (""X"") ved hvor mange episoder med tvangsoverspisning du har haft om ugen. 
Hvis det er forskelligt, hvor mange episoder med tvangsoverspisning du har haft om ugen, gennem de 
seneste tre måneder, så angiv et gennemsnit (fx 20 episoder på 12 uger = 1-3 episoder om ugen). 

Har du ikke haft episoder med tvangsoverspisning indenfor de seneste tre måneder, skal du svare ""Nej"" i 
alle spørgsmålene. Husk at besvare alle spørgsmålene.


Inden for <u>de seneste tre måneder</u>, har du:",,,,,,,,,,,,,Introduction to BED-Q.
,ace_type_v1,visit_01,besg_1_screening,,checkbox,Hvilken ACE-hæmmer?,"1, Enalapril | 2, Ramipril | 3, Andet",,,,,,[antihypertensive_medicine_v1(3)] = '1',y,,,,,Specifies which ACE inhibitor the participant uses. Visit 4.
,age_v1,visit_01,besg_1_screening,"<div class=""rich-text-field-label""><h4><span style=""color: #000000;"">Screening</span></h4> <p><span style=""background-color: #e67e23;"">Udfyld først relevante felter i instrumentet ""stamdata"".</span></p> <p>Inklusionskriterier<br><span style=""font-weight: normal;"">Deltageren skal leve op til følgende inklusionskriterier</span></p></div>",text,"<div class=""rich-text-field-label""><p>Alder i år</p></div>",,Deltageren skal være ≥18 - 75 år.,number,0,100,,,y,,,,,Age of participant. V1.
,aim_screening_v1,visit_01,besg_1_screening,,radio,"<div class=""rich-text-field-label""><p>Har deltageren fået en gennemgang af formålet med informations- og screeningsbesøget?</p> <p><span style=""font-weight: normal;""><em>Se ""SOP - Inspirationssætninger til projektintro""</em></span></p></div>","1, Ja | 2, Nej",,,,,,,y,,,,,Whether the purpose of the screening visit has been explained by the study staff. Visit 1.
,alcohol_or_substance_misuse_v1,visit_01,besg_1_screening,,radio,8. Har deltageren et aktuelt alkohol- eller stofmisbrug eller modtager behandling for alkoholafhængighed (fx medicinsk behandling)?,"1, Ja | 2, Nej",Eksklusion hvis Ja.,,,,,,y,,,,,"Participant's history of alcohol or substance abuse, or current treatment for alcohol dependence (including pharmacological treatment). Self-reported by participant. Visit 1."
,amlodipin_dose_v1,visit_01,besg_1_screening,,text,Amlodipin dosis:,,Mg/dag,number,,,,[calciumantagonist_type_v1(1)] = '1',y,,,,,States the Amlodipin dose. Mg/day. Visit 4.
,angiotensin_ii_type_v1,visit_01,besg_1_screening,,checkbox,Hvilken angiotensin-II-receptorblokker?,"1, Losartan | 2, Candesartan | 3, Andet",,,,,,[antihypertensive_medicine_v1(4)] = '1',y,,,,,Specifies which ARB the participant uses. Visit 4.
,antidiabetics_medicine_v1,visit_01,besg_1_screening,,checkbox,Deltager tager følgende antidiabetika:,"1, Metformin | 2, SGLT-2-hæmmer (Canagliflozin (Invokana), Dapagliflozin (Forxiga), Empagliflozin (Jardiance)) | 3, DPP-IV-hæmmer (Sitagliptin (Januvia), Linagliptin (Trajenta)) | 4, Sulfonylurinstof (Gliclazid, Glimepirid) | 5, GLP-1-receptoragonist (Semaglutid s.c. (Ozempic), Semaglutid p.o. (Rybelsus), Dulaglutid s.c. (Trulicity), Tirzepatid (Mounjaro)) | 6, Andet præparat | 7, Deltager tager ikke antidiabetika","Ved kombinationspræparater, vælg begge typer antidiabetika og skriv dosis for hver type adskilt. Eks. Janumet, Metformin: 500 mg og Sitagliptin: 50 mg.",,,,,,y,,,,,Lists which antidiabetic medications the participant uses. Visit 4.
